sample_idx,omega,dG_spacer,coop_factor,Kd_strong_eff,Kd_weak_eff,Kd_sym_eff,cv_asym,cv_sym,delta_cv
26,0.27211924023931716,-0.5984195156950893,0.7189184428317813,2.869174037702057,58.578969936417,12.964307142955885,0.1833476418786774,0.157636021853475,0.025711620025202386
27,2.556155728914237,0.4002153099831977,1.3347882167604217,2.09901902409091,42.854971741856076,9.484376677622745,0.19071969355926827,0.160868005294334,0.029851688264934256
28,1.1479018692560778,0.08883356330841541,0.9937381485055475,2.4075615712294463,49.15438207926786,10.878520182064044,0.1893553573232685,0.15632400371563085,0.03303135360763765
29,2.7985754133870753,0.41798473965174276,1.4198209949653855,2.0451769654450387,41.7556963778362,9.2410923817516,0.19224302269625884,0.15873745878701528,0.03350556390924356
30,0.8639728828138958,-0.4748151519452205,1.8675500958750628,1.8425530445745424,37.61879132673024,8.32554013216447,0.19449246356304312,0.1626464345406123,0.031846029022430805
31,0.19960993200326746,-1.0856974104473465,1.1632193692919843,2.231619685571779,45.562235247090484,10.083530190169487,0.19410430435006573,0.1575643335324913,0.03653997081757443
32,0.29042133579518775,-0.8108582700152227,1.0832545068039947,2.307772912517528,47.11703029723287,10.42762706651047,0.184771785281567,0.1554668720514899,0.029304913230077112
33,1.4400905640039787,-0.0894779123352154,1.665240286091547,1.9206167242185188,39.21259145279476,8.678269351903396,0.1872974817530969,0.16354757793046343,0.023749903822633478
34,2.8235366725905555,0.29972244522409963,1.7356884397430519,1.8913683196378526,38.615436525939494,8.54611100408533,0.18871588646428902,0.16328050021361037,0.02543538625067865
35,0.3302440632657256,-0.7920491571912611,1.194745744951342,2.2043978018510306,45.006455121125214,9.960528637482827,0.1931212442313659,0.1572844456808979,0.03583679855046801
36,0.04094548913466564,-1.871206733021413,0.8541124524998349,2.6049672223930393,53.18474745719122,11.770493781368508,0.18309078604423434,0.15396281482751362,0.029127971216720727
37,0.25212027945221954,-0.9654843551002693,1.2087322242938177,2.1927757164752357,44.769170878036064,9.908014470522728,0.19018132639396657,0.1581782749947711,0.03200305139919546
38,0.017108308458894852,-2.641466854996897,1.246217957881197,2.1629134232989418,44.1594823923534,9.773082279012822,0.18984368486620004,0.15924990563614172,0.03059377923005832
