generation,mean_fitness,best_fitness,mean_Kd_ratio,std_Kd_ratio,best_Kd_ratio,mean_cv,best_cv,mean_persister,diversity
82,3.9144162,4.046,3508.8923643575126,2193.916214855394,6247.659199258735,0.06305260453737191,0.06358519902282021,0.0,0.7779914192600872
83,3.8548251999999996,4.03697,3365.9358127568707,2263.518485277498,3510.521265019748,0.06453063578580757,0.06276964182476245,0.0,0.7636537385383125
84,3.8873404,4.04741,2940.832333230492,1699.7650365212514,6639.220462547783,0.06276470914747442,0.06657866606149,0.0,0.6685954763931212
85,3.895291,4.04033,2818.5019601244708,1707.9865597912617,2297.957082500177,0.06352878275924448,0.061709412645953476,0.0,0.6159868759963225
86,3.898387,4.04133,2944.1802147886374,1804.9181087928484,1119.9178088255394,0.06401526778334242,0.06367872614103329,0.0,0.5858906279041773
87,3.8971378,4.040179999999999,3001.673497714588,1890.81077198954,8377.888014690037,0.06339155632514064,0.06310611338435777,0.0,0.6110455792120899
88,3.8901900000000005,4.05141,2935.5479001926924,2122.5960656073944,10000.0,0.063951715176117,0.06706893611037257,0.0,0.7290526488828947
89,3.8609570000000004,4.056,3337.9816810092134,2899.4039080298235,1436.524354833664,0.0640521773468647,0.056358957583599205,0.0,0.9869114756809407
90,3.8520819999999993,4.05899,3214.256371710034,2553.61836405663,1386.4722200030853,0.06254977504546913,0.06315553256992729,0.0,0.7875648026128428
91,3.8527692,4.05262,3225.316479282497,2591.6280420120856,3945.4674238239913,0.06258138693960015,0.0628617475554058,0.0,0.8362780108747381
92,3.8391132000000003,4.04081,2814.974217450262,2196.534601541498,3945.4674238239913,0.06335077285520528,0.06040126118959689,0.0,0.818670745846303
93,3.8839565999999994,4.04426,2374.7658630837363,1725.6287455027868,456.740313715499,0.06391363172404557,0.05929903852087887,0.0,0.7573057043193032
94,3.8760176,4.0524000000000004,1933.0078385164788,1228.2928803848731,1815.941754683626,0.06283613846690568,0.06452731943003943,0.0,0.7374433327568234
95,3.8711174,4.04311,1942.8762219995842,1098.2948428964792,1609.421380987729,0.06356209139453135,0.06558589187023044,0.0,0.6578193229179423
96,3.8673106,4.0427800000000005,1548.7512190359657,979.1420407824185,1120.361754093324,0.06372808479159427,0.0641562322130908,0.0,0.6736978075101767
97,3.8731526,4.04533,1565.1798804388675,1271.3028758713351,1640.7898115405608,0.0625917031669409,0.05966371250389285,0.0,0.7235361546827473
98,3.8957374000000002,4.05939,1656.66259943957,1270.680746584095,2155.533411570862,0.06291096189249074,0.0616785821098132,0.0,0.7094104188478717
99,3.9182178000000003,4.05198,1719.379143422445,1078.9627064314416,2155.533411570862,0.06428888792251175,0.06724059988408401,0.0,0.76053233345708
